column_name,description,description_bahasa,raw_output
product_name,"This column represents the name of the product or service offered, with all examples indicating 'Wifi'.","Kolom ini mewakili nama produk atau layanan yang ditawarkan, dengan semua contoh menunjukkan 'wifi'.","product_name: This column represents the name of the product or service offered, with all examples indicating 'Wifi'."
last_update,"This column indicates the last recorded update timestamp for the product or service, consistently showing '26/08/25 12.23'.","Kolom ini menunjukkan cap waktu pembaruan yang direkam terakhir untuk produk atau layanan, secara konsisten menunjukkan '26/08/22 12.23 '.","last_update: This column indicates the last recorded update timestamp for the product or service, consistently showing '26/08/25 12.23'."
updated_date,"This column captures the precise date and time of the last update in a detailed format, e.g., '2025-08-26 12:23:26.048 +0700'.","Kolom ini menangkap tanggal dan waktu yang tepat dari pembaruan terakhir dalam format terperinci, mis., '2025-08-26 12: 23: 26.048 +0700'.","updated_date: This column captures the precise date and time of the last update in a detailed format, e.g., '2025-08-26 12:23:26.048 +0700'."
sid,"This column contains a unique service identifier or customer service number used for tracking purposes, with examples like '7102024' and '8082024'.","Kolom ini berisi pengidentifikasi layanan yang unik atau nomor layanan pelanggan yang digunakan untuk tujuan pelacakan, dengan contoh -contoh seperti '7102024' dan '8082024'.","sid: This column contains a unique service identifier or customer service number used for tracking purposes, with examples like '7102024' and '8082024'."
ncx,"This column indicates a binary state or flag related to new customer experience, with values '1' indicating active status and '0' indicating inactive.","Kolom ini menunjukkan keadaan biner atau bendera yang terkait dengan pengalaman pelanggan baru, dengan nilai '1' menunjukkan status aktif dan '0' yang menunjukkan tidak aktif.","ncx: This column indicates a binary state or flag related to new customer experience, with values '1' indicating active status and '0' indicating inactive."
oss,"This column indicates the operational status of the OSS system, with example values suggesting binary statuses like '0' for inactive and '1' for active.","Kolom ini menunjukkan status operasional sistem OSS, dengan nilai contoh yang menyarankan status biner seperti '0' untuk tidak aktif dan '1' untuk aktif.","oss: This column indicates the operational status of the OSS system, with example values suggesting binary statuses like '0' for inactive and '1' for active."
tibs,"This column reflects the operational status of the TIBS system, with values indicating whether it is currently active or inactive, similar to the OSS column.","Kolom ini mencerminkan status operasional sistem TIBS, dengan nilai -nilai yang menunjukkan apakah saat ini aktif atau tidak aktif, mirip dengan kolom OSS.","tibs: This column reflects the operational status of the TIBS system, with values indicating whether it is currently active or inactive, similar to the OSS column."
product_ncx,"This column lists the names of products associated with the NCX system, with all example values indicating the same product, 'ASTINet', showing product consistency in records.","Kolom ini mencantumkan nama -nama produk yang terkait dengan sistem NCX, dengan semua nilai contoh yang menunjukkan produk yang sama, 'Astinet', menunjukkan konsistensi produk dalam catatan.","product_ncx: This column lists the names of products associated with the NCX system, with all example values indicating the same product, 'ASTINet', showing product consistency in records."
product_tibs,"This column contains product names from the TIBS system, reflecting variations of 'ASTINet' and 'Telkom ASTINET', indicating possible branding or packaging differences.","Kolom ini berisi nama produk dari sistem TIBS, yang mencerminkan variasi 'Astinet' dan 'Telkom Astinet', yang menunjukkan kemungkinan perbedaan branding atau pengemasan.","product_tibs: This column contains product names from the TIBS system, reflecting variations of 'ASTINet' and 'Telkom ASTINET', indicating possible branding or packaging differences."
product_oss,"This column specifies the products related to OSS, with all entries showing 'Wifi_RFS', suggesting a focus on Wi-Fi related services within the OSS framework.","Kolom ini menentukan produk yang terkait dengan OSS, dengan semua entri yang menunjukkan 'WiFi_RFS', menunjukkan fokus pada layanan terkait Wi-Fi dalam kerangka OSS.","product_oss: This column specifies the products related to OSS, with all entries showing 'Wifi_RFS', suggesting a focus on Wi-Fi related services within the OSS framework."
divisi,"This column represents the business unit involved, with example values like 'DSS' indicating specific divisions that serve B2B segments.","Kolom ini mewakili unit bisnis yang terlibat, dengan nilai contoh seperti 'DSS' yang menunjukkan divisi spesifik yang melayani segmen B2B.","divisi: This column represents the business unit involved, with example values like 'DSS' indicating specific divisions that serve B2B segments."
segmen,"This column denotes the segments within the B2B context, showing values such as 'RBS', which indicates the breakdown of services provided under each division.","Kolom ini menunjukkan segmen dalam konteks B2B, menunjukkan nilai -nilai seperti 'RBS', yang menunjukkan rincian layanan yang disediakan dalam setiap divisi.","segmen: This column denotes the segments within the B2B context, showing values such as 'RBS', which indicates the breakdown of services provided under each division."
ncx_order_num,"This column captures order numbers for transactions, exemplified by '1-407971990', which uniquely identifies each service-related order in the dataset.","Kolom ini menangkap nomor pesanan untuk transaksi, dicontohkan oleh '1-407971990', yang secara unik mengidentifikasi setiap pesanan terkait layanan dalam dataset.","ncx_order_num: This column captures order numbers for transactions, exemplified by '1-407971990', which uniquely identifies each service-related order in the dataset."
ncx_li_milestone,"This column indicates the current status of an order, such as 'FULFILL BILLING COMPLETE', reflecting different stages of transaction processing within service management.","Kolom ini menunjukkan status pesanan saat ini, seperti 'memenuhi penagihan lengkap', yang mencerminkan berbagai tahap pemrosesan transaksi dalam manajemen layanan.","ncx_li_milestone: This column indicates the current status of an order, such as 'FULFILL BILLING COMPLETE', reflecting different stages of transaction processing within service management."
[TOTAL_TOKENS],2523,,
[TIME_ELAPSED_SECONDS],177.66,,
