column_name,description,raw_output
Id,A unique identifier for each house sale entry in the dataset.,Id: A unique identifier for each house sale entry in the dataset.
MSSubClass,"A categorical variable indicating the type or class of the house, represented by numerical codes such as '60' for one-story homes.","MSSubClass: A categorical variable indicating the type or class of the house, represented by numerical codes such as '60' for one-story homes."
MSZoning,"A categorical variable that describes the zoning classification of the property, with example values like 'RL' indicating residential low-density zoning.","MSZoning: A categorical variable that describes the zoning classification of the property, with example values like 'RL' indicating residential low-density zoning."
LotFrontage,"The linear feet of street connected to the property, with example values indicating typical lengths like '65.0' feet.","LotFrontage: The linear feet of street connected to the property, with example values indicating typical lengths like '65.0' feet."
LotArea,"The size of the lot in square feet, with example values illustrating various lot sizes such as '8450'.","LotArea: The size of the lot in square feet, with example values illustrating various lot sizes such as '8450'."
Street,"A categorical variable indicating the type of street access, where 'Pave' suggests the street is paved.","Street: A categorical variable indicating the type of street access, where 'Pave' suggests the street is paved."
Alley,"A categorical variable that describes alley access, with example values such as 'Pave' indicating paved alleys.","Alley: A categorical variable that describes alley access, with example values such as 'Pave' indicating paved alleys."
LotShape,"A categorical variable indicating the general shape of the lot, where 'Reg' represents a regular-shaped lot.","LotShape: A categorical variable indicating the general shape of the lot, where 'Reg' represents a regular-shaped lot."
LandContour,"A categorical description of the land's topography, with values like 'Lvl' indicating a level lot.","LandContour: A categorical description of the land's topography, with values like 'Lvl' indicating a level lot."
Utilities,"A categorical variable that represents the utilities available, with 'AllPub' indicating all public utilities are present.","Utilities: A categorical variable that represents the utilities available, with 'AllPub' indicating all public utilities are present."
LotConfig,"A categorical variable describing the configuration of the lot, with values such as 'Inside' indicating an interior lot.","LotConfig: A categorical variable describing the configuration of the lot, with values such as 'Inside' indicating an interior lot."
LandSlope,"A categorical variable indicating the slope of the land, where 'Gtl' suggests a gentle slope.","LandSlope: A categorical variable indicating the slope of the land, where 'Gtl' suggests a gentle slope."
Neighborhood,"This column identifies the neighborhood in which the house is located, with example values including 'CollgCr' and 'Crawfor'.","Neighborhood: This column identifies the neighborhood in which the house is located, with example values including 'CollgCr' and 'Crawfor'."
Condition1,"This column indicates the general condition of the house's location, represented by categorical values such as 'Norm' and 'Feedr'.","Condition1: This column indicates the general condition of the house's location, represented by categorical values such as 'Norm' and 'Feedr'."
Condition2,"Similar to Condition1, this column further describes the condition of the house's location with additional categorical values, primarily 'Norm'.","Condition2: Similar to Condition1, this column further describes the condition of the house's location with additional categorical values, primarily 'Norm'."
BldgType,"This column specifies the type of building, with examples showing primarily single-family homes as indicated by '1Fam'.","BldgType: This column specifies the type of building, with examples showing primarily single-family homes as indicated by '1Fam'."
HouseStyle,"This column categorizes the architectural style of the house, such as '2Story' or '1Story', reflecting variations in design.","HouseStyle: This column categorizes the architectural style of the house, such as '2Story' or '1Story', reflecting variations in design."
OverallQual,"This column rates the overall quality of the house on a scale from 1 to 10, as seen in example values like '7' and '6'.","OverallQual: This column rates the overall quality of the house on a scale from 1 to 10, as seen in example values like '7' and '6'."
OverallCond,"This column assesses the overall condition of the house on a similar scale, with example values like '5' and '8'.","OverallCond: This column assesses the overall condition of the house on a similar scale, with example values like '5' and '8'."
YearBuilt,"This column records the year the house was constructed, providing important historical context with values such as '2003' and '1976'.","YearBuilt: This column records the year the house was constructed, providing important historical context with values such as '2003' and '1976'."
YearRemodAdd,"This column indicates the year of any remodeling or additions made to the house, seen in example values like '2003' and '1970'.","YearRemodAdd: This column indicates the year of any remodeling or additions made to the house, seen in example values like '2003' and '1970'."
RoofStyle,"This column details the style of the roof, with consistent values like 'Gable' across various examples.","RoofStyle: This column details the style of the roof, with consistent values like 'Gable' across various examples."
RoofMatl,"This column describes the material of the roof, with example values consistently showing materials like 'CompShg'.","RoofMatl: This column describes the material of the roof, with example values consistently showing materials like 'CompShg'."
Exterior1st,"This column identifies the primary exterior material of the house, with examples such as 'VinylSd' and 'MetalSd' indicating various finishes.","Exterior1st: This column identifies the primary exterior material of the house, with examples such as 'VinylSd' and 'MetalSd' indicating various finishes."
Exterior2nd,"Indicates the material used for the exterior siding of the house, with examples like 'VinylSd' and 'MetalSd'.","Exterior2nd: Indicates the material used for the exterior siding of the house, with examples like 'VinylSd' and 'MetalSd'."
MasVnrType,"Describes the type of masonry veneer applied to the property, including options like 'BrkFace' and 'Stone'.","MasVnrType: Describes the type of masonry veneer applied to the property, including options like 'BrkFace' and 'Stone'."
MasVnrArea,"Represents the area in square feet of the masonry veneer on the house, with values such as '196.0' and '0.0'.","MasVnrArea: Represents the area in square feet of the masonry veneer on the house, with values such as '196.0' and '0.0'."
ExterQual,"Denotes the quality of the exterior material, categorized as 'Gd' for Good or 'TA' for Typical.","ExterQual: Denotes the quality of the exterior material, categorized as 'Gd' for Good or 'TA' for Typical."
