column_name,description,description_bahasa,raw_output
product_name,"The name of the product being offered, exemplified by 'Wifi'.","Nama produk yang ditawarkan, dicontohkan oleh 'wifi'.","product_name: The name of the product being offered, exemplified by 'Wifi'."
last_update,"A timestamp indicating when the last update occurred, such as '26/08/25 12.23'.","Cap waktu yang menunjukkan ketika pembaruan terakhir terjadi, seperti '26/08/22 12.23 '.","last_update: A timestamp indicating when the last update occurred, such as '26/08/25 12.23'."
updated_date,"A precise date and time format indicating when the product data was last modified, for example, '2025-08-26 12:23:26.048 +0700'.","Format tanggal dan waktu yang tepat yang menunjukkan kapan data produk terakhir dimodifikasi, misalnya, '2025-08-26 12: 23: 26.048 +0700'.","updated_date: A precise date and time format indicating when the product data was last modified, for example, '2025-08-26 12:23:26.048 +0700'."
sid,"The Service ID or customer service number, represented by values like '7102024'.","ID layanan atau nomor layanan pelanggan, diwakili oleh nilai -nilai seperti '7102024'.","sid: The Service ID or customer service number, represented by values like '7102024'."
ncx,"A binary or categorical value denoting an identifier related to the product in the NCX system, as shown by '1' and '0'.","Nilai biner atau kategori yang menunjukkan pengidentifikasi yang terkait dengan produk dalam sistem NCX, seperti yang ditunjukkan oleh '1' dan '0'.","ncx: A binary or categorical value denoting an identifier related to the product in the NCX system, as shown by '1' and '0'."
oss,"This column indicates the presence or absence of a product in the OSS system, with '0' representing absence and '1' representing presence.","Kolom ini menunjukkan ada atau tidak adanya produk dalam sistem OSS, dengan '0' mewakili tidak adanya dan '1' mewakili keberadaan.","oss: This column indicates the presence or absence of a product in the OSS system, with '0' representing absence and '1' representing presence."
tibs,"This column shows the presence or absence of a product in the TIBS system, also denoted by '0' for absence and '1' for presence.","Kolom ini menunjukkan ada atau tidak adanya produk dalam sistem TIBS, juga dilambangkan dengan '0' untuk ketidakhadiran dan '1' untuk kehadiran.","tibs: This column shows the presence or absence of a product in the TIBS system, also denoted by '0' for absence and '1' for presence."
product_ncx,"This column consistently lists the product name as 'ASTINet', indicating that all entries are related to this specific product.","Kolom ini secara konsisten mencantumkan nama produk sebagai 'astinet', yang menunjukkan bahwa semua entri terkait dengan produk spesifik ini.","product_ncx: This column consistently lists the product name as 'ASTINet', indicating that all entries are related to this specific product."
product_tibs,"This column contains the names of products in the TIBS system, including variations like 'ASTINet' and 'Telkom ASTINET'.","Kolom ini berisi nama -nama produk dalam sistem Tibs, termasuk variasi seperti 'Astinet' dan 'Telkom Astinet'.","product_tibs: This column contains the names of products in the TIBS system, including variations like 'ASTINet' and 'Telkom ASTINET'."
product_oss,"This column lists the specific product related to OSS, primarily showing 'Wifi_RFS' across all entries, indicating a focus on this product.","Kolom ini mencantumkan produk spesifik yang terkait dengan OSS, terutama menunjukkan 'WiFi_RFS' di semua entri, menunjukkan fokus pada produk ini.","product_oss: This column lists the specific product related to OSS, primarily showing 'Wifi_RFS' across all entries, indicating a focus on this product."
divisi,"This column identifies the division associated with each order, represented by codes like 'UNSE' and 'DSS'.","Kolom ini mengidentifikasi divisi yang terkait dengan masing -masing pesanan, diwakili oleh kode seperti 'unse' dan 'DSS'.","divisi: This column identifies the division associated with each order, represented by codes like 'UNSE' and 'DSS'."
segmen,"This column categorizes the product or order segment, with values such as 'CGS' and 'MANUFACTURE AND INFRASTRUCTURE'.","Kolom ini mengkategorikan segmen produk atau pesanan, dengan nilai -nilai seperti 'CGS' dan 'manufaktur dan infrastruktur'.","segmen: This column categorizes the product or order segment, with values such as 'CGS' and 'MANUFACTURE AND INFRASTRUCTURE'."
ncx_order_num,"This column captures the unique identifier for each NCX order, as evidenced by example values like '1-407971990'.","Kolom ini menangkap pengidentifikasi unik untuk setiap urutan NCX, sebagaimana dibuktikan dengan nilai contoh seperti '1-407971990'.","ncx_order_num: This column captures the unique identifier for each NCX order, as evidenced by example values like '1-407971990'."
ncx_li_milestone,"This column indicates the current status or milestone of the NCX order, shown with statuses like 'FULFILL BILLING COMPLETE' and 'PROVISION START'.","Kolom ini menunjukkan status atau tonggak saat ini dari pesanan NCX, ditunjukkan dengan status seperti 'memenuhi penagihan lengkap' dan 'ketentuan mulai'.","ncx_li_milestone: This column indicates the current status or milestone of the NCX order, shown with statuses like 'FULFILL BILLING COMPLETE' and 'PROVISION START'."
[TOTAL_TOKENS],2302,,
[TIME_ELAPSED_SECONDS],214.12,,
