column_name,description,raw_output
product_name,"Represents the name of the product, with example values indicating it is consistently categorized as 'Wifi'.","product_name: Represents the name of the product, with example values indicating it is consistently categorized as 'Wifi'."
last_update,"Indicates the last time the product's information was updated, with all entries showing the same timestamp of '8/26/2025 12:23'.","last_update: Indicates the last time the product's information was updated, with all entries showing the same timestamp of '8/26/2025 12:23'."
updated_date,"Records the precise date and time of the last update in a more detailed format, with example values consistently showing '2025-08-26 12:23:26.048 +0700'.","updated_date: Records the precise date and time of the last update in a more detailed format, with example values consistently showing '2025-08-26 12:23:26.048 +0700'."
sid,"Serves as a unique identifier for different records or products, with varying example values indicating multiple records such as '7102024', '8082024', and '100936545'.","sid: Serves as a unique identifier for different records or products, with varying example values indicating multiple records such as '7102024', '8082024', and '100936545'."
ncx,"Represents a categorical variable likely indicating a status or count, with example values of '1' and '0' that suggest a binary condition across the dataset.","ncx: Represents a categorical variable likely indicating a status or count, with example values of '1' and '0' that suggest a binary condition across the dataset."
oss,"Indicates a binary status or flag, with possible values such as '0' or '1', where '1' may represent an affirmative or active condition.","oss: Indicates a binary status or flag, with possible values such as '0' or '1', where '1' may represent an affirmative or active condition."
tibs,"Functions similarly to the 'oss' column, representing a binary status with values predominantly as '1' for active and '0' for inactive.","tibs: Functions similarly to the 'oss' column, representing a binary status with values predominantly as '1' for active and '0' for inactive."
product_ncx,"Reflects a consistent product identifier, with 'ASTINet' appearing in all sample values, suggesting it is a primary offering in the dataset.","product_ncx: Reflects a consistent product identifier, with 'ASTINet' appearing in all sample values, suggesting it is a primary offering in the dataset."
product_tibs,"Represents product names associated with TIBs, showcasing variability as seen in values like 'ASTINet' and 'Telkom ASTINET', indicating different products within a category.","product_tibs: Represents product names associated with TIBs, showcasing variability as seen in values like 'ASTINet' and 'Telkom ASTINET', indicating different products within a category."
product_oss,"Contains product names related to OSS, consistently showing 'Wifi_RFS', which may suggest a specific product line within the broader dataset context.","product_oss: Contains product names related to OSS, consistently showing 'Wifi_RFS', which may suggest a specific product line within the broader dataset context."
divisi,"Represents the division or department within the organization, as indicated by examples like 'UNSE' and 'DSS'.","divisi: Represents the division or department within the organization, as indicated by examples like 'UNSE' and 'DSS'."
segmen,"Categorizes the segment of operation, shown with values such as 'CGS' and 'MANUFACTURE AND INFRASTRUCTURE'.","segmen: Categorizes the segment of operation, shown with values such as 'CGS' and 'MANUFACTURE AND INFRASTRUCTURE'."
ncx_order_num,"Serves as a unique identifier for orders, exemplified by values like '1-407971990' and potentially erroneous entries like '#VALUE!'.","ncx_order_num: Serves as a unique identifier for orders, exemplified by values like '1-407971990' and potentially erroneous entries like '#VALUE!'."
ncx_li_milestone,"Identifies key milestones in the order lifecycle, with examples such as 'PROVISION START' and 'FULFILL BILLING COMPLETE' indicating various stages of the process.","ncx_li_milestone: Identifies key milestones in the order lifecycle, with examples such as 'PROVISION START' and 'FULFILL BILLING COMPLETE' indicating various stages of the process."
Unnamed: 14,[MISSING],"Unnamed: 14: Appears to contain no useful data, as indicated by the note stating no non-empty examples found."
Unnamed: 15,[MISSING],"Unnamed: 15: This column currently has no non-empty examples, indicating that it may not contain relevant data or is still under development in the dataset."
[TOTAL_TOKENS],2480,
[TIME_ELAPSED_SECONDS],15.55,
